scan_index,x_m,y_m,method,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad,max_original_knot_q_difference_rad
1887,0.6,0.3,selected,True,True,False,13.333191238241634,0.11110992698534694,482.88455553094246,4.465974754079362e-15,2.6336564270996404e-14,True,5,0.10636854749508196,1.6364687382974807e-13
1888,0.62,0.3,baseline,True,True,False,18.158055457863753,0.15131712881553128,699.5732146485636,7.938870967844446e-15,4.8267270562023654e-14,True,5,0.9894705907003907,9.14823772291129e-14
1888,0.62,0.3,selected,True,True,False,18.158055457790827,0.15131712881492354,699.5732146401097,6.26169722837292e-15,4.1583304228526526e-14,True,5,0.9894705907003909,6.226130722097878e-13
1889,0.64,0.3,baseline,True,True,False,33.82495639078545,0.28187463658987877,1212.2993268811158,1.2461480722126106e-14,7.231120107212603e-14,True,5,1.0046452387109523,1.5187850976872141e-13
1889,0.64,0.3,selected,True,True,False,33.82495639078545,0.28187463658987877,1212.2993268811158,1.2461480722126106e-14,7.231120107212603e-14,True,5,1.0046452387109523,1.5276668818842154e-13
1890,0.66,0.3,baseline,True,True,False,83.91417753312489,0.6992848127760407,5117.438453355796,1.9347925804038254e-14,1.0680928422642051e-13,True,5,0.6664286269403688,2.575717417130363e-13
1890,0.66,0.3,selected,True,True,False,14.562326345283871,0.12135271954403226,1773.8927893291277,4.258468780718043e-15,3.097103285982586e-14,True,3,0.9084195378049342,3.232969447708456e-13
1891,0.68,0.3,baseline,False,False,False,,,,,,,,,
1891,0.68,0.3,selected,True,True,False,168.51178387712795,1.404264865642733,32585.1216035541,4.4454000914842915e-15,2.8190994263693007e-14,True,5,0.20214313969038855,1.326938559031987e-12
1892,0.7000000000000001,0.3,baseline,False,False,False,,,,,,,,,
1892,0.7000000000000001,0.3,selected,False,False,False,,,,,,,,,
1893,0.72,0.3,baseline,False,False,False,,,,,,,,,
1893,0.72,0.3,selected,True,True,False,176.34829239655838,1.4695691033046532,37561.724304800766,2.4050490551701536e-14,1.2875386515807946e-13,True,5,0.741909792411585,3.2363001167823313e-13
1894,0.74,0.3,baseline,True,True,False,41.78454444870962,0.34820453707258014,1170.504719601501,8.525255061832915e-15,4.529089930166375e-14,True,3,0.5806460280014409,1.7486012637846216e-13
1894,0.74,0.3,selected,True,True,False,33.10926120948832,0.2759105100790693,1148.174087132297,9.135084789881328e-15,4.539169531698787e-14,True,3,0.549535353694611,2.3447910280083306e-13
1895,0.76,0.3,baseline,False,False,False,,,,,,,,,
1895,0.76,0.3,selected,True,True,True,2.9809357910668277,0.024841131592223564,205.18161966480753,3.622868207981091e-14,9.16753017882045e-14,True,2,1.2572338143503217,3.875233467454109e-13
1923,0.6,0.32,baseline,True,True,False,13.675893500964396,0.1139657791747033,402.29199621670233,4.562057578661872e-15,2.995198250500489e-14,True,5,0.9500399283899983,5.595524044110789e-14
1923,0.6,0.32,selected,True,True,False,13.675893500964396,0.1139657791747033,402.29199621670233,4.562057578661872e-15,2.995198250500489e-14,True,5,0.9500399283899983,8.526512829121202e-14
1924,0.62,0.32,baseline,True,True,False,18.69290476208839,0.15577420635073658,571.925403612373,7.239045753053295e-15,4.475441385163745e-14,True,5,1.0279629379173674,3.383959779057477e-13
1924,0.62,0.32,selected,True,True,False,18.692904762023723,0.15577420635019767,571.9254036118614,4.901119121014644e-15,3.173422452174371e-14,True,5,0.09976002875736789,5.051514762044462e-14
1925,0.64,0.32,baseline,True,True,False,26.572445782426257,0.22143704818688548,1082.9493466659414,1.1901285301597255e-14,7.055007967311462e-14,True,5,1.0074540870985356,1.5898393712632242e-13
1925,0.64,0.32,selected,True,True,False,26.572445782426364,0.22143704818688636,1082.9493466659542,2.4279387088187486e-15,1.9123891203377673e-14,True,5,0.07223855914118715,3.019806626980426e-14
